detector_name,shape_name,param_name,param_value,keypoint_count,spatial_coverage,response_mean,response_std,response_max,repeatability,runtime_s,error
harris_pc,cone,k,0.001,5.0,0.078125,6.960872798868842e-09,1.3290843648893665e-09,8.976848118987332e-09,0.4,0.5321976019986323,
harris_pc,cube,k,0.001,8.0,0.125,6.232362365377859e-08,1.1081850166768371e-08,8.355549728585686e-08,0.5,0.47125827700074296,
harris_pc,cuboid,k,0.001,8.0,0.125,5.3641804006872304e-08,1.7456977331532194e-08,9.019644032060054e-08,0.125,0.48873473099956755,
harris_pc,cylinder,k,0.001,0.0,0.0,,,,,0.4627803059993312,
harris_pc,pyramid,k,0.001,6.0,0.09375,1.2765756679772964e-08,2.4374797536281656e-09,1.627017766707427e-08,0.16666666666666666,0.4676793819962768,
harris_pc,sphere,k,0.001,0.0,0.0,,,,,0.46527324600174325,
harris_pc,torus,k,0.001,7.0,0.109375,1.4565973048641457e-08,5.305049011088855e-09,2.611774013773882e-08,0.5714285714285714,0.5032541760010645,
harris_pc,cone,k,0.0021544346900318843,5.0,0.078125,6.585798490327614e-09,1.2476290256587196e-09,8.471630731898105e-09,0.4,0.49181335599860176,
harris_pc,cube,k,0.0021544346900318843,8.0,0.125,5.9010332682197924e-08,1.0506565533456463e-08,7.901092344011393e-08,0.5,0.474140634003561,
harris_pc,cuboid,k,0.0021544346900318843,8.0,0.125,5.0532837849843427e-08,1.64849868595651e-08,8.512684691221313e-08,0.125,0.47533501100406284,
harris_pc,cylinder,k,0.0021544346900318843,0.0,0.0,,,,,0.6444207329986966,
harris_pc,pyramid,k,0.0021544346900318843,6.0,0.09375,1.2153676144888486e-08,2.275994511107839e-09,1.5405791071097486e-08,0.16666666666666666,0.545900562996394,
harris_pc,sphere,k,0.0021544346900318843,0.0,0.0,,,,,0.46866858700377634,
harris_pc,torus,k,0.0021544346900318843,7.0,0.109375,1.3779983723119185e-08,5.038138993318111e-09,2.4769003752694864e-08,0.5714285714285714,0.49791182600165484,
harris_pc,cone,k,0.004641588833612777,4.0,0.0625,6.093525523289225e-09,9.522815757722013e-10,7.383172867145815e-09,0.0,0.47506919800071046,
harris_pc,cube,k,0.004641588833612777,8.0,0.125,5.204041418332071e-08,9.419671654181563e-09,6.993455372039066e-08,0.5,0.46420915800263174,
harris_pc,cuboid,k,0.004641588833612777,8.0,0.125,4.385126579042056e-08,1.4377908695764847e-08,7.420473900882634e-08,0.125,0.46651403199939523,
harris_pc,cylinder,k,0.004641588833612777,0.0,0.0,,,,,0.4650732970039826,
harris_pc,pyramid,k,0.004641588833612777,6.0,0.09375,1.083498860744009e-08,1.9328695749384636e-09,1.3543526603126531e-08,0.16666666666666666,0.47156687400274677,
harris_pc,sphere,k,0.004641588833612777,0.0,0.0,,,,,0.46317787600128213,
harris_pc,torus,k,0.004641588833612777,7.0,0.109375,1.2119099282220808e-08,4.471235614402795e-09,2.1863239297047975e-08,0.5714285714285714,0.6407379150041379,
harris_pc,cone,k,0.01,5.0,0.078125,4.233540718226853e-09,8.078114639337423e-10,5.038161484685442e-09,0.4,0.47386768300202675,
harris_pc,cube,k,0.01,8.0,0.125,3.724453755375032e-08,7.002506710553548e-09,5.055978525080555e-08,0.5,0.5043430529985926,
harris_pc,cuboid,k,0.01,8.0,0.125,3.130749097211889e-08,8.105115541938569e-09,5.06737708534984e-08,0.0,0.4640004750035587,
harris_pc,cylinder,k,0.01,0.0,0.0,,,,,0.49384631399880163,
harris_pc,pyramid,k,0.01,6.0,0.09375,8.021779635393177e-09,1.2193398805331069e-09,9.593501957939249e-09,0.16666666666666666,0.5080266120057786,
harris_pc,sphere,k,0.01,0.0,0.0,,,,,0.46227293600531993,
harris_pc,torus,k,0.01,7.0,0.109375,8.54083222661513e-09,3.2569524947768218e-09,1.5602959552740695e-08,0.8571428571428571,0.49533519899705425,
harris_pc,cone,k,0.021544346900318832,5.0,0.078125,1.614352659261789e-09,6.543186018283432e-10,2.7722893902840874e-09,0.6,0.46720360999461263,
harris_pc,cube,k,0.021544346900318832,8.0,0.125,6.8214545452873325e-09,2.532894869952931e-09,9.503475125082346e-09,1.0,0.46349204299622215,
harris_pc,cuboid,k,0.021544346900318832,7.0,0.109375,5.3780692209693395e-09,1.792539501826678e-09,8.077793870386246e-09,1.0,0.46463536500232294,
harris_pc,cylinder,k,0.021544346900318832,0.0,0.0,,,,,0.46570563599379966,
harris_pc,pyramid,k,0.021544346900318832,5.0,0.078125,3.2356055245167362e-09,4.977532021104246e-10,3.924362628213192e-09,0.6,0.512254050001502,
harris_pc,sphere,k,0.021544346900318832,0.0,0.0,,,,,0.46190431300055934,
harris_pc,torus,k,0.021544346900318832,5.0,0.078125,1.908034845034458e-09,4.695071303583682e-10,2.3984958684618253e-09,0.2,0.5805438059978769,
harris_pc,cone,k,0.046415888336127774,0.0,0.0,,,,,0.5117050090047996,
harris_pc,cube,k,0.046415888336127774,0.0,0.0,,,,,0.5904817679984262,
harris_pc,cuboid,k,0.046415888336127774,0.0,0.0,,,,,0.4690346520001185,
harris_pc,cylinder,k,0.046415888336127774,0.0,0.0,,,,,0.4961890350023168,
harris_pc,pyramid,k,0.046415888336127774,0.0,0.0,,,,,0.46775678600533865,
harris_pc,sphere,k,0.046415888336127774,0.0,0.0,,,,,0.4641647640019073,
harris_pc,torus,k,0.046415888336127774,0.0,0.0,,,,,0.5032380799966631,
harris_pc,cone,k,0.1,0.0,0.0,,,,,0.47814181099965936,
harris_pc,cube,k,0.1,0.0,0.0,,,,,0.5273239359958097,
harris_pc,cuboid,k,0.1,0.0,0.0,,,,,0.46484129300370114,
harris_pc,cylinder,k,0.1,0.0,0.0,,,,,0.4657730479957536,
harris_pc,pyramid,k,0.1,0.0,0.0,,,,,0.46463853800378274,
harris_pc,sphere,k,0.1,0.0,0.0,,,,,0.49585861599916825,
harris_pc,torus,k,0.1,0.0,0.0,,,,,0.4908237729978282,
harris_pc,cone,k_neighbors,20,5.0,0.078125,3.3278388435278673e-12,1.9776369870652652e-12,5.979228237674445e-12,0.4,0.0580044079979416,
harris_pc,cube,k_neighbors,20,11.0,0.171875,1.2143452298559937e-11,6.692970453062947e-12,2.423211612938835e-11,0.36363636363636365,0.055242356000235304,
harris_pc,cuboid,k_neighbors,20,10.0,0.15625,3.1409742077500934e-11,1.2455266258000784e-11,5.425772395306986e-11,0.1,0.05478478200529935,
harris_pc,cylinder,k_neighbors,20,8.0,0.125,1.2625801724384295e-11,6.838789349233846e-12,2.9115144902553446e-11,0.125,0.055905741995957214,
harris_pc,pyramid,k_neighbors,20,7.0,0.109375,5.518459036762875e-12,4.399025273143532e-12,1.3450513180922044e-11,0.14285714285714285,0.05544368499977281,
harris_pc,sphere,k_neighbors,20,0.0,0.0,,,,,0.05420270299509866,
harris_pc,torus,k_neighbors,20,6.0,0.09375,1.2497136153618964e-11,1.9901177064989875e-12,1.595136879979698e-11,0.16666666666666666,0.060782762004237156,
harris_pc,cone,k_neighbors,50,5.0,0.078125,2.99478035169517e-11,1.0237075417460335e-11,4.2038282208081866e-11,0.0,0.1100672829998075,
harris_pc,cube,k_neighbors,50,10.0,0.15625,1.0836001656917906e-10,6.753668779356244e-11,2.7043038456200344e-10,0.3,0.1076213859996642,
harris_pc,cuboid,k_neighbors,50,10.0,0.15625,1.925393850238669e-10,8.447885636627536e-11,3.135358318396261e-10,0.7,0.1070490880010766,
harris_pc,cylinder,k_neighbors,50,8.0,0.125,5.5157047831024975e-11,3.157943206410021e-11,1.1881694321129208e-10,0.125,0.10770900799980154,
harris_pc,pyramid,k_neighbors,50,7.0,0.109375,5.629498748773726e-11,3.9862570337724896e-11,1.2762736781490596e-10,0.2857142857142857,0.10788058699836256,
harris_pc,sphere,k_neighbors,50,0.0,0.0,,,,,0.10566006400040351,
harris_pc,torus,k_neighbors,50,6.0,0.09375,4.573759798237328e-11,1.493508864373514e-11,6.610434682734903e-11,0.3333333333333333,0.11507115099811926,
harris_pc,cone,k_neighbors,100,5.0,0.078125,1.610453673497495e-10,2.880076806725216e-11,2.0212523696747884e-10,0.2,0.20954001300560776,
harris_pc,cube,k_neighbors,100,8.0,0.125,8.028770332063103e-10,1.702950037302151e-10,1.1068713703590109e-09,0.375,0.19879280700115487,
harris_pc,cuboid,k_neighbors,100,11.0,0.171875,7.50800813924867e-10,5.28639225345774e-10,1.95383069569733e-09,0.45454545454545453,0.19820236800296698,
harris_pc,cylinder,k_neighbors,100,4.0,0.0625,2.446028775508022e-10,6.076836233014024e-11,3.3443973181500567e-10,0.25,0.22955338899919298,
harris_pc,pyramid,k_neighbors,100,6.0,0.09375,3.4280918120834657e-10,1.3679222662814716e-10,5.274716471946179e-10,0.5,0.20091125399630982,
harris_pc,sphere,k_neighbors,100,0.0,0.0,,,,,0.1985640689963475,
