detector_name,param_name,param_value,keypoint_count,spatial_coverage,response_mean,response_std,response_max,repeatability,runtime_s
harris_pc,k,0.001,4.714285714285714,0.07366071428571429,2.8176262853326943e-09,3.6412286815490414e-09,1.96814150883248e-08,0.37,0.31521647028733113
harris_pc,k,0.0021544346900318843,4.714285714285714,0.07366071428571429,1.7204871759475656e-09,4.038509653764701e-09,1.859419948658063e-08,0.37,0.31559870842777726
harris_pc,k,0.004641588833612777,4.714285714285714,0.07366071428571429,-6.432273811024371e-10,5.617038378420308e-09,2.3321904973474096e-08,0.30333333333333334,0.3097822142860553
harris_pc,k,0.01,4.714285714285714,0.07366071428571429,-5.735696020144317e-09,9.684243120822706e-09,5.135418792434437e-08,0.3794444444444444,0.32132194042787887
harris_pc,k,0.021544346900318832,4.142857142857143,0.06473214285714286,-1.670708711399559e-08,1.921955827228251e-08,1.1535445048971937e-07,0.5599999999999999,0.36220120814479223
harris_pc,k,0.046415888336127774,0.0,0.0,-4.034423268449563e-08,4.038454239159564e-08,2.532388363317123e-07,,0.44767287514280596
harris_pc,k,0.1,0.0,0.0,-9.126891907491443e-08,8.637972012066416e-08,5.503017404034432e-07,,0.32401013100128956
harris_pc,k_neighbors,100,5.428571428571429,0.08482142857142858,-3.4773996625764556e-09,4.1083323048350844e-09,2.8343686053807663e-08,0.3382575757575757,0.21742882728410354
harris_pc,k_neighbors,170,4.428571428571429,0.06919642857142858,-1.523938747067433e-08,1.7921835354323514e-08,1.0679280486646646e-07,0.595,0.3376282202890642
harris_pc,k_neighbors,20,6.714285714285714,0.10491071428571429,-3.4568493256081546e-11,5.671603810883634e-11,8.584752509988344e-10,0.21636002886002884,0.05578333328802338
harris_pc,k_neighbors,250,4.428571428571429,0.06919642857142858,-4.309440144469099e-08,5.163910972289473e-08,2.8613324303244824e-07,0.71,0.5012716129983475
harris_pc,k_neighbors,400,4.714285714285714,0.07366071428571429,-1.238527293133028e-07,1.4485035565530283e-07,9.309688884456687e-07,0.6466666666666667,0.8112169524268081
harris_pc,k_neighbors,50,6.571428571428571,0.10267857142857142,-4.80215240556093e-10,6.113028571946511e-10,5.529932299080467e-09,0.2906746031746032,0.1167545654274623
harris_pc,radius,0.01,1.5714285714285714,0.024553571428571428,-4.918220100946374e-17,3.913654847212442e-16,9.89876235918653e-15,0.0,0.026266344999645037
harris_pc,radius,0.02,7.0,0.109375,-4.778410872128445e-14,8.156635957786672e-14,8.966244580202722e-13,0.15136054421768708,0.08014597014282897
harris_pc,radius,0.05,6.571428571428571,0.10267857142857142,-2.2877490538485597e-11,1.4064803280780148e-11,1.2428831504143485e-10,0.3183982683982684,0.15451672628530236
harris_pc,radius,0.1,5.571428571428571,0.08705357142857142,-1.742742398836345e-09,8.305877184648643e-10,4.376810458930906e-09,0.5555555555555555,0.28005868457174593
harris_pc,radius,0.15,4.714285714285714,0.07366071428571429,-1.82489380733607e-08,9.87018291348605e-09,4.1207755966212454e-08,0.5055555555555555,0.49458195842869046
harris_pc,radius,0.2,4.714285714285714,0.07366071428571429,-8.798613735582164e-08,5.5799458008731536e-08,2.0823017957996583e-07,0.5135714285714286,0.8718180180003401
