detector,dataset,perturbation,repeatability_mean,repeatability_std,localization_error_mean,localization_error_std,count_cv,num_trials
harris3d,real,downsample,0.31333019065577206,0.0859819201038011,1.0142759077890802,0.3124034243670404,0.06123724356957945,3
harris3d,real,noise,0.0197193858433919,0.006388275042276396,0.30436639159822104,0.15954482157879038,0.21502942835520503,3
harris3d,real,rotation,0.0,0.0,,,0.05360360002581719,3
harris3d,synthetic,downsample,0.35593382652206185,0.4296124113307162,0.7463350934008478,0.6870770243933768,0.5855231594413791,21
harris3d,synthetic,noise,0.01972769000994659,0.02353675897674018,0.30856468234724327,0.5051776949496202,0.2611808388760186,21
harris3d,synthetic,rotation,0.17142857142857143,0.34522988495984486,0.35864640751897686,0.2514079615041912,0.9331713017988638,21
harris_pc,real,downsample,0.3333333333333333,0.4714045207910317,0.014067900679246579,0.0,0.0,3
harris_pc,real,noise,0.5833333333333334,0.42491829279939874,0.011615339236786808,0.008440475952461248,0.0,3
harris_pc,real,rotation,0.75,0.0,5.5485691131227434e-17,3.4739491590053085e-17,0.14285714285714285,4
harris_pc,synthetic,downsample,0.36388888888888893,0.3172752436716637,0.024767639826461053,0.012079081029616186,0.6424643310462197,21
harris_pc,synthetic,noise,0.3904761904761904,0.32476370850869946,0.016016020492057668,0.009935367843337444,0.5789974915645967,21
harris_pc,synthetic,rotation,0.6678571428571428,0.43150779783433435,0.0004846221124849056,0.002112418814126634,0.6832566843742005,28
sift-geom_pc,real,downsample,0.3937138130686518,0.09591853772919257,0.010640340323798745,0.005215973796721096,0.08519358809476477,3
sift-geom_pc,real,noise,0.3815073815073815,0.1137078982435227,0.02074279105930855,0.011250549829863482,0.1124942606433144,3
sift-geom_pc,real,rotation,0.7692307692307693,0.0,2.5479765390552736e-08,4.052917837050851e-09,0.0,4
sift-geom_pc,synthetic,downsample,0.2362818947060583,0.25275149271247277,0.019198745727443588,0.01209085831176556,0.839245177693283,21
sift-geom_pc,synthetic,noise,0.26972974625634066,0.2591775634790084,0.02264992954879899,0.008411851579533587,0.9487430504427179,21
sift-geom_pc,synthetic,rotation,0.7976682815392492,0.3329024613789572,2.2694373343508174e-08,3.8882969292635905e-09,1.090402576013913,28
sift3d,real,downsample,0.41244776599164257,0.11580619992661628,1.123629016570922,0.22347077235347745,0.2124300605193269,3
sift3d,real,noise,0.7651163427694921,0.020183202535621315,0.6744152955050419,0.1289644153786823,0.037245636197746325,3
sift3d,real,rotation,0.059042591395532563,0.03418637473588075,1.336785293514631,0.07362604868573223,0.10814761408717502,3
sift3d,synthetic,downsample,0.6663850185589316,0.3697635970746482,0.6313802012206398,0.4726702186399356,1.2010608401776255,21
sift3d,synthetic,noise,0.4735081324078662,0.3204752743560592,0.4999879995923423,0.31964941577603717,1.0393089180984327,21
sift3d,synthetic,rotation,0.42696031951780017,0.3803731325786955,0.7400586474800857,0.46581579728421213,1.0318874838567353,21
