detector_name,param_name,param_value,keypoint_count,spatial_coverage,response_mean,response_std,response_max,repeatability,runtime_s
harris3d,gradient_sigma,0.1,0.0,0.0,,,,,0.005253541859149534
harris3d,gradient_sigma,0.2,7.714285714285714,0.10714285714285714,3.58618851776518e-27,5.856517382399483e-28,6.176572432250535e-27,0.9682539682539683,0.005602702282236091
harris3d,gradient_sigma,0.35,7.714285714285714,0.10714285714285714,2.540207852680724e-08,4.062739498356945e-09,4.328956917821818e-08,0.9682539682539683,0.005421732142817096
harris3d,gradient_sigma,0.48,3.142857142857143,0.049107142857142856,1.448084303586779e-05,2.557546890504737e-06,1.9595936816877265e-05,1.0,0.005122493856885869
harris3d,gradient_sigma,0.7,3.142857142857143,0.049107142857142856,7.676651637540008e-06,3.2420434479942735e-07,8.325060327138862e-06,1.0,0.005095148571334513
harris3d,gradient_sigma,1.0,2.2857142857142856,0.03571428571428571,9.63845765531197e-09,0.0,9.63845765531197e-09,1.0,0.005085922717366235
harris3d,gradient_sigma,1.5,2.5714285714285716,0.04017857142857143,5.966284293873054e-14,0.0,5.966284293873054e-14,1.0,0.00539897642946536
harris3d,k,0.001,12.857142857142858,0.13839285714285715,7.368921243370244e-05,1.2180718036389407e-05,0.00011476658957106534,0.9852216748768472,0.006052565426216461
harris3d,k,0.0021544346900318843,12.857142857142858,0.13839285714285715,6.50511227762201e-05,1.1892120855241639e-05,0.00010576964166276773,0.9901477832512315,0.0053065715744326425
harris3d,k,0.004641588833612777,8.428571428571429,0.10491071428571429,6.290069662132849e-05,1.571344600951683e-05,0.0001033231412302656,1.0,0.004999612998549959
harris3d,k,0.01,6.714285714285714,0.09821428571428571,4.356672597122499e-05,1.3996973979748517e-05,6.657968312057552e-05,1.0,0.004952541712555103
harris3d,k,0.021544346900318832,4.285714285714286,0.06696428571428571,1.9190403519986672e-05,3.1764138987025672e-06,2.932715873170861e-05,1.0,0.004847559287944543
harris3d,k,0.046415888336127774,0.0,0.0,,,,,0.004742821426979
harris3d,k,0.1,0.0,0.0,,,,,0.004812428569753787
harris3d,tensor_sigma,0.2,2.857142857142857,0.044642857142857144,8.414601869619402e-35,0.0,8.414601869619402e-35,0.041666666666666664,0.004601541573980025
harris3d,tensor_sigma,0.35,2.2857142857142856,0.03571428571428571,7.139818766483482e-09,0.0,7.139818766483482e-09,1.0,0.004811237855132536
harris3d,tensor_sigma,0.5,4.571428571428571,0.07142857142857142,8.926252453517899e-07,2.381097982063818e-10,8.929619834577472e-07,1.0,0.00536258913884272
harris3d,tensor_sigma,0.68,3.142857142857143,0.049107142857142856,1.5341886129561866e-05,2.6838838888093635e-06,2.0709653907180595e-05,1.0,0.00549195243054003
harris3d,tensor_sigma,1.0,4.571428571428571,0.06696428571428571,1.3004091586926776e-05,2.72600890565727e-07,1.3549293368058228e-05,1.0,0.005908482288110203
harris3d,tensor_sigma,1.5,4.857142857142857,0.06919642857142858,7.28196346633653e-06,5.428473891976401e-07,8.239840295519495e-06,0.9285714285714286,0.0058793807152791745
harris3d,tensor_sigma,2.0,5.714285714285714,0.08482142857142858,4.122492046341619e-06,3.703362716986661e-07,4.86316458973895e-06,0.8642857142857142,0.006589029859502001
harris3d,threshold_rel,0.0001,3.142857142857143,0.049107142857142856,1.4937714862842078e-05,2.613505897556046e-06,2.016472665795417e-05,1.0,0.0050713212861280355
harris3d,threshold_rel,0.00031622776601683794,3.142857142857143,0.049107142857142856,1.4937714862842078e-05,2.613505897556046e-06,2.016472665795417e-05,1.0,0.004766851141799374
harris3d,threshold_rel,0.001,3.142857142857143,0.049107142857142856,1.4937714862842078e-05,2.613505897556046e-06,2.016472665795417e-05,1.0,0.004942975998606666
harris3d,threshold_rel,0.0031622776601683794,3.142857142857143,0.049107142857142856,1.4937714862842078e-05,2.613505897556046e-06,2.016472665795417e-05,1.0,0.004824375001979726
harris3d,threshold_rel,0.01,3.142857142857143,0.049107142857142856,1.4937714862842078e-05,2.613505897556046e-06,2.016472665795417e-05,1.0,0.004848517997223618
harris3d,threshold_rel,0.03162277660168379,3.142857142857143,0.049107142857142856,1.4937714862842078e-05,2.613505897556046e-06,2.016472665795417e-05,1.0,0.005425018004773717
harris3d,threshold_rel,0.1,3.142857142857143,0.049107142857142856,1.4937714862842078e-05,2.613505897556046e-06,2.016472665795417e-05,1.0,0.005386845283542893
