detector_name,shape_name,param_name,param_value,keypoint_count,spatial_coverage,response_mean,response_std,response_max,repeatability,runtime_s,error
harris3d,cone,k,0.001,27.0,0.171875,3.7356831503261955e-05,3.683592534828435e-05,0.00021634339881286083,0.9629629629629629,0.00866433400005917,
harris3d,cube,k,0.001,8.0,0.125,9.192523304724705e-05,0.0,9.192523304724705e-05,1.0,0.006150794000859605,
harris3d,cuboid,k,0.001,8.0,0.125,9.192523304724705e-05,0.0,9.192523304724705e-05,1.0,0.006215564997546608,
harris3d,cylinder,k,0.001,8.0,0.09375,0.0001190594348797368,4.791541927135544e-20,0.00011905943487973685,1.0,0.006231044997548452,
harris3d,pyramid,k,0.001,13.0,0.203125,0.00011059391936223772,4.576265267845705e-05,0.0002160654278187499,1.0,0.006786079000448808,
harris3d,sphere,k,0.001,12.0,0.109375,1.6088663230994907e-05,6.120557938166034e-20,1.6088663230994998e-05,1.0,0.006771006002963986,
harris3d,torus,k,0.001,12.0,0.125,4.91707912950962e-05,3.942749439973231e-06,5.195873616062075e-05,1.0,0.00658901600036188,
harris3d,cone,k,0.0021544346900318843,27.0,0.171875,2.834765481294981e-05,3.673753346920696e-05,0.0002069089299691051,1.0,0.007423603001370793,
harris3d,cube,k,0.0021544346900318843,8.0,0.125,8.436140190306324e-05,0.0,8.436140190306324e-05,1.0,0.006228803998965304,
harris3d,cuboid,k,0.0021544346900318843,8.0,0.125,8.436140190306324e-05,0.0,8.436140190306324e-05,1.0,0.006301009998423979,
harris3d,cylinder,k,0.0021544346900318843,8.0,0.09375,0.00010999106896844952,4.0657581468206416e-20,0.00010999106896844956,1.0,0.006249070000194479,
harris3d,pyramid,k,0.0021544346900318843,13.0,0.203125,0.00010246307133510424,4.498081433663708e-05,0.00020661712244503984,1.0,0.007177147999755107,
harris3d,sphere,k,0.0021544346900318843,12.0,0.109375,6.158714191783351e-06,5.936486473548906e-20,6.1587141917834355e-06,1.0,0.00664309400235652,
harris3d,torus,k,0.0021544346900318843,12.0,0.125,4.001311243447281e-05,2.794118055382584e-06,4.198885225886964e-05,1.0,0.0066811830001825,
harris3d,cone,k,0.004641588833612777,10.0,0.078125,4.396401736209221e-05,5.1858859686888074e-05,0.0001865829830100928,1.0,0.00621658300224226,
harris3d,cube,k,0.004641588833612777,8.0,0.125,6.806562169649013e-05,0.0,6.806562169649013e-05,1.0,0.010279124999215128,
harris3d,cuboid,k,0.004641588833612777,8.0,0.125,6.806562169649013e-05,0.0,6.806562169649013e-05,1.0,0.010431683000206249,
harris3d,cylinder,k,0.004641588833612777,8.0,0.09375,9.045386686726964e-05,4.791541927135544e-20,9.045386686726968e-05,1.0,0.010325361003197031,
harris3d,pyramid,k,0.004641588833612777,13.0,0.203125,8.657156068865468e-05,4.210234961585172e-05,0.0001862613655859043,1.0,0.010455617000843631,
harris3d,sphere,k,0.004641588833612777,0.0,0.0,,,,,0.009888769000099273,
harris3d,torus,k,0.004641588833612777,12.0,0.125,2.0283491416974193e-05,3.1946675436114273e-07,2.050938852534665e-05,1.0,0.011098945997218834,
harris3d,cone,k,0.01,2.0,0.015625,9.4786192869541e-05,4.8005864904307596e-05,0.0001427920577738486,1.0,0.010299798999767518,
harris3d,cube,k,0.01,8.0,0.125,3.295742751831399e-05,0.0,3.295742751831399e-05,1.0,0.010610719997202978,
