detector_name,shape_name,param_name,param_value,keypoint_count,spatial_coverage,response_mean,response_std,response_max,repeatability,runtime_s,error
harris_pc,cone,k,0.001,5.0,0.078125,5.273391578720218e-10,6.077780828970659e-10,3.1553301110686776e-09,0.4,0.3673531919994275,
harris_pc,cube,k,0.001,8.0,0.125,6.3469108587251195e-09,8.612435066762165e-09,3.282798875418988e-08,0.25,0.3190773129972513,
harris_pc,cuboid,k,0.001,9.0,0.140625,6.8934737457068835e-09,9.904829467652578e-09,6.450185686580125e-08,0.3333333333333333,0.3187901059973228,
harris_pc,cylinder,k,0.001,0.0,0.0,2.336811342058484e-09,3.6935629189112707e-09,1.6923010841116646e-08,,0.3179165679975995,
harris_pc,pyramid,k,0.001,6.0,0.09375,1.2605612399857503e-09,1.4078724421967305e-09,6.5478828525275885e-09,0.6666666666666666,0.3648427760017512,
harris_pc,sphere,k,0.001,0.0,0.0,1.4261349384636498e-10,5.801476204739278e-11,4.2490769782116586e-10,,0.3154655289981747,
harris_pc,torus,k,0.001,5.0,0.078125,2.215674159134234e-09,1.2041080303760833e-09,1.3388928495748433e-08,0.2,0.34852257799866493,
harris_pc,cone,k,0.0021544346900318843,5.0,0.078125,3.492273113027906e-10,6.509368366150959e-10,2.873156724548841e-09,0.4,0.323607460999483,
harris_pc,cube,k,0.0021544346900318843,8.0,0.125,4.414302084870563e-09,9.014174463402434e-09,3.0753729018337954e-08,0.25,0.354368770000292,
harris_pc,cuboid,k,0.0021544346900318843,9.0,0.140625,4.889913640936472e-09,1.0451160247528981e-08,6.071387928471527e-08,0.3333333333333333,0.3420446920026734,
harris_pc,cylinder,k,0.0021544346900318843,0.0,0.0,1.3200270944249002e-09,3.864297987516839e-09,1.58571065450133e-08,,0.3396154810034204,
harris_pc,pyramid,k,0.0021544346900318843,6.0,0.09375,9.400849795638537e-10,1.4884528491469657e-09,6.170065294825962e-09,0.6666666666666666,0.3451056480007537,
harris_pc,sphere,k,0.0021544346900318843,0.0,0.0,-2.3847165655370936e-10,9.789706055846805e-11,7.673713855610783e-10,,0.34716536400082987,
harris_pc,torus,k,0.0021544346900318843,5.0,0.078125,3.6832677708808874e-10,2.7026481315841217e-09,1.3024088153062016e-08,0.2,0.3650527329991746,
harris_pc,cone,k,0.004641588833612777,5.0,0.078125,-3.4503029651596827e-11,7.592723446872882e-10,2.3986858104813545e-09,0.4,0.32559313499950804,
harris_pc,cube,k,0.004641588833612777,8.0,0.125,2.5062270021833013e-10,1.0007010994376942e-08,2.6284871887282208e-08,0.25,0.3175143709995609,
harris_pc,cuboid,k,0.004641588833612777,9.0,0.140625,5.733742476551888e-10,1.3226644718371424e-08,7.008391243956635e-08,0.3333333333333333,0.3221827500019572,
harris_pc,cylinder,k,0.004641588833612777,0.0,0.0,-8.705681609548595e-10,4.369754652592624e-09,1.3560685353234233e-08,,0.32655322999926284,
harris_pc,pyramid,k,0.004641588833612777,6.0,0.09375,2.4963980677922816e-10,1.6887633118831713e-09,5.356082042010457e-09,0.3333333333333333,0.33222773599845823,
harris_pc,sphere,k,0.004641588833612777,0.0,0.0,-1.0594947244316464e-09,3.1866518938470503e-10,2.7023762490066723e-09,,0.32111938299931353,
